CustomerID,TotalSpending,TotalTransaction,TotalQuantity,AvgPrice,Recency
12346.0,372.86,11,70,6.25,165
12347.0,1323.32,2,828,2.3,3
12348.0,222.16,1,373,0.72,74
12349.0,2671.14,3,993,8.58,43
12351.0,300.93,1,261,2.36,11
12352.0,343.8,2,188,3.03,11
12353.0,317.76,1,192,1.94,44
12355.0,488.21,1,303,2.4,203
12356.0,3560.3,3,1825,3.13,16
12357.0,12079.99,2,3879,8.46,24
12358.0,2719.01,3,831,4.42,11
12359.0,2563.36,6,1130,4.73,61
12360.0,1590.83,5,1294,2.71,15
12361.0,321.35,3,144,4.15,98
12362.0,130.0,1,1,130.0,374
12366.0,500.24,1,296,1.69,269
12368.0,917.7,1,330,4.39,264
12369.0,1791.15,3,1241,3.15,49
12370.0,774.62,3,252,6.41,260
12371.0,2179.42,3,845,4.06,45
12373.0,763.05,2,319,4.64,260
12374.0,2246.29,3,1020,2.99,57
12376.0,503.15,2,240,8.03,25
12377.0,1798.2,2,1161,2.76,17
12378.0,1407.7,1,787,4.4,198
12379.0,767.98,2,408,2.95,58
12380.0,6951.49,7,2228,13.81,101
12385.0,1938.4,1,612,3.68,15
12386.0,258.9,1,214,2.73,2
12387.0,143.94,1,134,2.76,51
12388.0,1120.45,2,539,2.93,81
12389.0,1433.33,3,614,2.65,38
12391.0,2285.18,5,911,4.52,100
12392.0,234.75,1,73,5.04,227
12393.0,816.85,2,495,2.78,18
12395.0,2048.64,4,1615,2.97,7
12396.0,931.43,1,591,2.3,310
12399.0,853.65,3,1020,1.96,21
12400.0,205.25,1,91,2.91,50
12402.0,1031.3,5,490,3.31,28
12403.0,591.66,1,164,7.13,157
12404.0,63.24,1,1,63.24,318
12406.0,2975.06,3,1598,2.6,35
12408.0,1452.22,3,820,3.21,21
12409.0,12346.62,4,7592,3.0,56
12410.0,320.38,1,130,5.42,138
12411.0,346.9,1,138,3.4,45
12412.0,1370.05,3,1168,2.43,38
12413.0,241.35,1,33,9.13,38
12414.0,390.0,3,195,30.35,99
12415.0,19543.84,7,14073,3.08,11
12416.0,202.56,1,132,1.53,292
12417.0,3148.31,11,1342,5.55,46
12418.0,1352.62,3,681,3.24,49
12419.0,503.01,2,231,5.04,21
12421.0,291.56,2,168,5.34,51
12422.0,4428.24,14,2226,12.21,30
12423.0,763.08,2,454,3.15,23
12424.0,1579.07,2,1285,1.9,58
12425.0,964.21,1,651,2.3,84
12426.0,762.48,1,326,3.32,298
12427.0,303.5,1,79,4.92,7
12429.0,3735.51,5,1787,2.96,1
12431.0,4370.52,13,1811,3.87,9
12433.0,7205.39,5,6045,2.01,2
12434.0,297.29,1,138,3.41,17
12435.0,6096.04,4,2903,2.9,32
12437.0,7731.99,21,5078,3.02,31
12439.0,1142.88,2,478,3.71,318
12440.0,859.2,2,331,5.45,98
12441.0,173.55,1,121,3.7,2
12443.0,485.31,1,182,5.87,368
12445.0,301.58,1,144,2.77,56
12449.0,768.6,2,729,2.69,46
12450.0,490.32,3,314,2.4,35
12451.0,3634.36,3,2784,2.27,99
12454.0,13151.44,4,6697,11.58,31
12455.0,3413.09,4,1213,4.4,81
12457.0,632.68,1,251,6.36,71
12458.0,830.09,2,480,3.67,63
12459.0,454.36,1,258,4.15,241
12460.0,326.65,1,170,4.38,92
12466.0,56.73,1,1,56.73,318
12467.0,132.8,1,129,1.62,59
12468.0,2941.2,3,1835,2.52,162
12469.0,3070.54,2,2552,3.0,158
12470.0,211.95,1,95,3.93,325
12471.0,20129.54,49,8667,3.47,10
12472.0,11308.48,13,7202,2.39,5
12474.0,5048.66,13,3107,3.08,14
12475.0,426.26,1,236,3.31,45
12476.0,7267.49,12,3223,4.15,32
12477.0,7056.63,3,2466,3.96,35
12480.0,2183.22,3,1245,3.43,35
12481.0,6765.07,6,3949,4.63,1
12482.0,23691.4,29,27042,9.93,212
12483.0,2612.2,11,1050,7.41,14
12484.0,1826.78,6,1079,2.92,119
12485.0,708.1,1,414,2.41,165
12486.0,1037.28,1,523,4.1,67
12487.0,285.3,1,174,2.0,366
12490.0,4405.71,11,2842,3.05,14
12492.0,452.0,1,252,3.18,39
12494.0,626.77,3,281,4.42,1
12495.0,357.4,1,130,5.71,276
12496.0,45.34,2,30,1.93,256
12497.0,5205.4,2,4449,1.82,36
12499.0,393.72,1,302,2.33,196
12500.0,1697.39,8,699,4.07,71
12503.0,1126.0,1,561,115.8,220
12504.0,297.0,2,368,4.05,53
12505.0,955.2,1,324,4.44,44
12507.0,539.25,1,362,3.54,220
12510.0,4195.45,7,1696,15.98,95
12511.0,3084.02,1,1753,3.43,64
12514.0,580.08,1,400,1.8,277
12516.0,1336.56,2,1077,1.97,66
12519.0,385.7,1,212,3.27,112
12523.0,2562.58,12,1398,4.04,10
12524.0,6640.39,9,3479,3.49,24
12525.0,973.73,3,509,3.01,134
12527.0,386.8,2,292,2.16,130
12529.0,316.48,1,192,3.04,164
12530.0,2096.98,5,1800,2.84,51
12531.0,1807.98,1,1074,2.37,322
12533.0,1367.89,2,704,3.3,263
12537.0,732.94,1,449,2.92,44
12538.0,276.5,1,145,4.13,14
12539.0,5646.4,3,2468,3.31,86
12540.0,8854.25,16,4334,3.96,14
12542.0,481.88,2,522,2.47,120
12543.0,980.25,1,688,2.61,84
12547.0,175.78,1,175,3.08,136
12549.0,1575.68,6,1366,1.65,211
12553.0,916.47,2,360,4.65,21
12554.0,468.5,1,240,3.82,84
12555.0,129.23,1,1,129.23,318
12557.0,6725.18,4,2398,2.17,7
12562.0,1185.18,2,548,3.6,21
12563.0,249.24,1,113,3.92,44
12567.0,4308.58,7,1781,4.19,3
12568.0,70.0,1,48,6.23,280
12570.0,77.52,1,1,77.52,318
12573.0,556.87,4,395,2.25,17
12575.0,622.82,2,315,3.57,93
12576.0,826.89,3,527,2.87,28
12577.0,990.5,5,722,1.83,17
12578.0,1847.94,2,1184,3.03,21
12580.0,637.2,1,331,2.61,212
12582.0,1469.04,2,685,3.48,58
12583.0,7166.06,13,3924,3.09,9
12586.0,1865.73,3,608,5.24,10
12588.0,743.88,3,385,6.51,35
12589.0,4048.98,6,1458,10.71,57
12591.0,886.1,2,425,4.78,26
12592.0,2145.06,3,1585,12.98,155
12594.0,1751.89,5,991,3.13,14
12595.0,299.02,1,271,3.19,140
12598.0,1511.01,3,942,2.74,99
12599.0,1264.14,6,1233,2.58,17
12600.0,2444.88,12,640,6.17,7
12601.0,104.2,1,45,8.16,40
12605.0,1232.95,4,929,2.22,12
12606.0,21.0,1,1,21.0,318
12608.0,415.79,1,323,1.63,40
12609.0,2309.01,6,905,4.17,10
12613.0,3472.99,5,2513,2.98,24
12615.0,3449.79,4,1941,3.04,49
12616.0,417.8,1,214,3.68,24
12619.0,140.14,1,140,2.55,196
12621.0,11086.14,16,6493,3.23,1
12623.0,3442.74,6,1781,2.99,52
12625.0,2481.06,2,1697,2.43,145
12629.0,1558.22,2,722,4.0,21
12631.0,2841.07,5,1371,2.84,92
12632.0,804.88,2,694,2.23,156
12633.0,3514.18,3,2076,2.97,18
12634.0,490.0,2,337,7.78,171
12635.0,1241.23,2,777,2.8,28
12636.0,141.0,1,1,141.0,374
12637.0,2280.91,4,1263,2.32,14
12638.0,249.8,1,86,6.89,275
12639.0,826.27,2,430,4.24,70
12643.0,4960.18,6,2857,8.99,21
12644.0,1440.58,3,707,3.63,66
12645.0,1764.12,4,1041,2.63,45
12647.0,14201.53,27,5455,4.68,3
12648.0,793.95,3,358,3.94,73
12649.0,1671.14,5,1373,2.72,18
12651.0,263.75,3,187,1.95,14
12652.0,97.05,1,31,5.0,70
12653.0,1950.98,1,762,2.91,162
12655.0,261.35,1,80,5.49,59
12656.0,2356.66,3,1137,3.3,61
12661.0,162.0,1,216,0.88,72
12662.0,3138.24,10,1523,3.56,9
12663.0,239.4,2,181,5.84,260
12664.0,1188.16,2,292,12.72,150
12665.0,250.6,2,128,4.51,53
12666.0,1248.42,1,370,3.85,30
12668.0,7575.88,6,3415,3.5,14
12670.0,764.24,2,230,5.53,21
12671.0,2622.48,1,1460,2.73,242
12672.0,211.15,1,60,5.14,231
12673.0,619.5,1,349,3.01,37
12675.0,957.25,2,336,3.8,189
12676.0,1511.7,5,1197,3.94,44
12677.0,395.1,2,176,4.05,191
12678.0,16652.72,9,11449,3.43,11
12681.0,17080.74,24,10060,2.85,3
12682.0,11745.69,23,5443,3.43,1
12683.0,4220.21,8,2696,2.93,1
12686.0,89.14,1,107,3.26,7
12687.0,2138.91,2,1403,4.48,116
12691.0,134.6,1,51,5.36,56
12692.0,110.95,1,36,3.12,273
12693.0,847.11,3,281,4.71,32
12694.0,973.68,1,846,2.11,57
12695.0,825.02,3,234,5.89,164
12696.0,851.91,2,564,3.29,70
12698.0,339.75,1,111,5.1,226
12699.0,638.11,1,373,3.11,53
12701.0,1648.7,4,1049,2.92,165
12703.0,722.98,3,431,3.03,269
12705.0,4893.81,5,3191,2.31,19
12708.0,2601.19,9,1214,3.89,4
12709.0,21107.94,20,9999,4.13,2
12711.0,1339.05,2,770,2.58,247
12712.0,2797.53,10,1287,4.33,1
12714.0,9384.85,7,5705,2.67,24
12717.0,277.93,1,94,5.96,226
12720.0,2478.94,6,1645,2.77,5
12721.0,1356.95,2,696,4.05,21
12724.0,1286.11,3,934,2.89,19
12725.0,2266.76,4,1142,5.96,7
12726.0,1405.5,4,1475,2.36,23
12727.0,1698.83,3,734,3.42,78
12728.0,233.84,1,124,3.97,19
12730.0,829.25,1,234,4.92,157
12731.0,6879.8,5,3204,3.44,78
12733.0,2040.92,3,759,3.42,25
12734.0,529.25,2,177,4.54,10
12737.0,3710.5,2,2,1855.25,134
12738.0,155.35,1,148,3.95,8
