CustomerID,Cluster,ClusterName,TotalSpending,TotalTransaction,TotalQuantity,AvgPrice,Recency
14442,0,Medium Value Customer (Tier 2),3777.2,5,949,8.91,50
12917,0,Medium Value Customer (Tier 2),3765.2,5,984,3.62,36
16772,0,Medium Value Customer (Tier 2),3698.05,3,687,5.81,59
16072,0,Medium Value Customer (Tier 2),3595.77,3,1440,3.7,64
12455,0,Medium Value Customer (Tier 2),3413.09,4,1213,4.4,81
13658,0,Medium Value Customer (Tier 2),3386.33,4,1152,4.45,19
15538,0,Medium Value Customer (Tier 2),3358.4,6,1016,7.46,173
14970,0,Medium Value Customer (Tier 2),3327.29,8,732,4.13,45
17315,0,Medium Value Customer (Tier 2),3318.35,5,1225,3.26,11
16067,0,Medium Value Customer (Tier 2),3269.11,3,1236,3.85,198
18194,0,Medium Value Customer (Tier 2),3188.2,5,1142,3.92,74
15485,0,Medium Value Customer (Tier 2),3186.01,5,1263,4.43,9
14535,0,Medium Value Customer (Tier 2),3118.39,6,1390,3.03,31
15394,0,Medium Value Customer (Tier 2),3103.26,7,1462,3.75,31
17769,0,Medium Value Customer (Tier 2),3095.95,7,1307,3.14,19
13562,0,Medium Value Customer (Tier 2),3038.85,5,846,4.54,37
15722,0,Medium Value Customer (Tier 2),3022.79,6,1256,3.92,81
16736,0,Medium Value Customer (Tier 2),2956.56,5,1050,4.3,141
14532,0,Medium Value Customer (Tier 2),2912.93,7,827,4.37,47
17819,0,Medium Value Customer (Tier 2),2907.65,6,818,3.3,7
14441,0,Medium Value Customer (Tier 2),2898.8,7,814,5.58,10
14824,0,Medium Value Customer (Tier 2),2895.2,6,1429,2.57,15
16003,0,Medium Value Customer (Tier 2),2878.46,5,1025,3.99,17
14930,0,Medium Value Customer (Tier 2),2873.77,3,1033,5.17,106
15079,0,Medium Value Customer (Tier 2),2871.74,8,1115,3.85,1
15421,0,Medium Value Customer (Tier 2),2854.98,6,1427,2.65,21
15122,0,Medium Value Customer (Tier 2),2853.49,8,1233,3.72,58
12631,0,Medium Value Customer (Tier 2),2841.07,5,1371,2.84,92
12749,0,Medium Value Customer (Tier 2),2806.48,4,889,6.17,35
13205,0,Medium Value Customer (Tier 2),2803.2,1,256,10.95,79
16208,0,Medium Value Customer (Tier 2),2776.19,8,1208,3.49,30
13052,0,Medium Value Customer (Tier 2),2771.18,6,1202,3.66,56
14770,0,Medium Value Customer (Tier 2),2761.22,6,1108,4.09,103
14540,0,Medium Value Customer (Tier 2),2756.98,8,1184,3.7,15
16335,0,Medium Value Customer (Tier 2),2753.52,7,1004,3.49,187
14572,0,Medium Value Customer (Tier 2),2722.34,4,1458,3.33,53
12358,0,Medium Value Customer (Tier 2),2719.01,3,831,4.42,11
14740,0,Medium Value Customer (Tier 2),2712.85,8,1346,3.7,45
13334,0,Medium Value Customer (Tier 2),2699.48,2,1434,3.02,172
17690,0,Medium Value Customer (Tier 2),2685.2,8,1352,4.17,2
17096,0,Medium Value Customer (Tier 2),2675.8,7,1220,3.68,19
12349,0,Medium Value Customer (Tier 2),2671.14,3,993,8.58,43
12967,0,Medium Value Customer (Tier 2),2646.02,2,834,4.85,7
17083,0,Medium Value Customer (Tier 2),2644.01,6,1183,2.74,45
12671,0,Medium Value Customer (Tier 2),2622.48,1,1460,2.73,242
16094,0,Medium Value Customer (Tier 2),2617.33,7,1373,4.65,11
14546,0,Medium Value Customer (Tier 2),2610.91,6,1375,2.35,12
14564,0,Medium Value Customer (Tier 2),2605.62,2,1295,3.49,70
17672,0,Medium Value Customer (Tier 2),2600.46,5,1068,5.33,53
12857,0,Medium Value Customer (Tier 2),2581.6,4,1077,3.34,72
15249,0,Medium Value Customer (Tier 2),2577.54,5,1403,3.53,66
16303,0,Medium Value Customer (Tier 2),2567.64,4,1200,3.31,28
12359,0,Medium Value Customer (Tier 2),2563.36,6,1130,4.73,61
17686,0,Medium Value Customer (Tier 2),2557.35,2,1105,3.68,59
17640,0,Medium Value Customer (Tier 2),2547.28,5,1442,2.31,15
16933,0,Medium Value Customer (Tier 2),2536.07,7,1245,3.07,25
17400,0,Medium Value Customer (Tier 2),2525.44,3,1097,3.62,217
16190,0,Medium Value Customer (Tier 2),2508.47,7,1143,4.22,30
12978,0,Medium Value Customer (Tier 2),2502.82,5,1394,2.6,21
16523,0,Medium Value Customer (Tier 2),2497.86,7,714,5.35,51
14001,0,Medium Value Customer (Tier 2),2487.01,7,911,3.26,9
16143,0,Medium Value Customer (Tier 2),2485.89,7,1092,3.18,5
13018,0,Medium Value Customer (Tier 2),2485.46,7,1311,4.41,49
16104,0,Medium Value Customer (Tier 2),2476.25,8,925,3.62,54
15123,0,Medium Value Customer (Tier 2),2456.86,3,1329,2.93,57
13823,0,Medium Value Customer (Tier 2),2445.79,5,1125,4.96,16
15077,0,Medium Value Customer (Tier 2),2428.08,2,528,5.14,130
13464,0,Medium Value Customer (Tier 2),2422.96,5,1037,3.94,30
15024,0,Medium Value Customer (Tier 2),2414.18,8,1281,2.68,3
16293,0,Medium Value Customer (Tier 2),2408.96,6,1040,3.87,3
17213,0,Medium Value Customer (Tier 2),2401.07,7,1003,3.71,2
15712,0,Medium Value Customer (Tier 2),2400.05,7,791,4.02,15
17031,0,Medium Value Customer (Tier 2),2393.5,4,1360,1.96,14
14737,0,Medium Value Customer (Tier 2),2389.62,1,726,4.01,36
